,Latitude,Longitude,Easting,Northing,Zone,Date/Local Standard Time,Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,AVG HN (cm),SWE (mm) A,SWE (mm) B,SWE (mm) C,AVG SWE (mm),Melt,Comments,date_t2,geometry,int_sd_delta,unw_sd_delta,Date,"Local 
Time",DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
0,43.73702,-116.1218,570719.0,4843040.0,11.0,2020-01-22 15:12:00,3,IDBRLO,ID,Boise River Basin,LDP Open,2.0, , ,2.0, , , , ,No, ,2020-01-22 15:12:00,POINT (-116.1218 43.73702),,,,,,,,,,
1,43.73701,-116.12188,570713.0,4843038.0,11.0,2020-01-31 09:26:00,4,IDBRLO,ID,Boise River Basin,LDP Open,20.0,20.0,19.0,19.7,39.2,40.0,38.0,39.1,No,"used 250 cc density cutter to get density, then calculated SWE. ",2020-01-31 09:26:00,POINT (-116.12188 43.73701),,,,,,,,,,
2,43.73705,-116.12188,570713.0,4843043.0,11.0,2020-02-12 15:19:00,6,IDBRLO,ID,Boise River Basin,LDP Open,11.0,11.0,11.0,11.0,44.0,39.0,45.0,42.7,Yes, ,2020-02-12 15:19:00,POINT (-116.12188 43.73705),0.046672891825437546,0.7294089065954731,,,,,,,,
3,43.73703,-116.12185,570715.0,4843041.0,11.0,2020-02-20 08:45:00,7,IDBRLO,ID,Boise River Basin,LDP Open,16.0,15.0,15.5,15.5,29.0,25.0,29.0,27.7,No, ,2020-02-20 08:45:00,POINT (-116.12185 43.73703),0.0992175042629242,0.1460314691066742,,,,,,,,
4,43.73702,-116.12182,570718.0,4843040.0,11.0,2020-02-26 09:28:00,8,IDBRLO,ID,Boise River Basin,LDP Open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No, ,2020-02-26 09:28:00,POINT (-116.12182 43.73702),,,,,,,,,,
5,43.73719,-116.12164,570732.0,4843059.0,11.0,2020-03-11 09:30:00,10,IDBRLO,ID,Boise River Basin,LDP Open,0.25,0.25,0.25,0.2, , , , ,Yes,"for numerical purposes added 0.25 cm to HN and left SWE blank, this is equivalent to 'trace'",2020-03-11 09:30:00,POINT (-116.12164 43.73719),,,,,,,,,,
6,43.7364,-116.1205,570825.0,4842972.0,11.0,2020-01-31 11:15:00,4,IDBRLT,ID,Boise River Basin,LDP Tree,9.0, , ,9.0, , , , ,No, ,2020-01-31 11:15:00,POINT (-116.1205 43.7364),,,,,,,,,,
7,43.7363,-116.12055,570821.0,4842961.0,11.0,2020-02-12 14:00:00,6,IDBRLT,ID,Boise River Basin,LDP Tree,17.0,19.0,15.0,17.0,31.0,46.0,31.0,36.0,Yes, ,2020-02-12 14:00:00,POINT (-116.12055 43.7363),0.03543338179588318,0.7385096184253795,,,,,,,,
8,43.73634,-116.12052,570823.0,4842965.0,11.0,2020-02-20 10:42:00,7,IDBRLT,ID,Boise River Basin,LDP Tree,14.0,15.0,14.5,14.5,22.0,26.0,25.0,24.3,No, ,2020-02-20 10:42:00,POINT (-116.12052 43.73634),0.06647881865501404,0.04094748571515083,,,,,,,,
9,43.73636,-116.12057,570819.0,4842967.0,11.0,2020-02-26 11:15:00,8,IDBRLT,ID,Boise River Basin,LDP Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No, ,2020-02-26 11:15:00,POINT (-116.12057 43.73636),,,,,,,,,,
10,43.73636,-116.1206,570817.0,4842967.0,11.0,2020-03-11 11:17:00,10,IDBRLT,ID,Boise River Basin,LDP Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes, ,2020-03-11 11:17:00,POINT (-116.1206 43.73636),,,,,,,,,,
11,44.30463,-115.23601,640701.0,4907221.0,11.0,2020-01-09 14:11:00,1,IDBRBO,ID,Boise River Basin,Banner Open,62.0,62.5,62.0,62.2,62.0,54.0,64.0,60.0, ,placed interval board on 2019-12-18. ,2020-01-09 14:11:00,POINT (-115.23601 44.30463),,,,,,,,,,
12,44.30461,-115.23598,640704.0,4907219.0,11.0,2020-01-23 14:30:00,3,IDBRBO,ID,Boise River Basin,Banner Open,53.0, , ,53.0,88.0, , ,88.0, ,"Forgot SWE tube, instead did extra density measurements. HN=53cm, avg density=166kg/m3; (53x166)/100=88mm SWE.  ",2020-01-23 14:30:00,POINT (-115.23598 44.30461),,,,,,,,,,
13,44.30461,-115.23598,640704.0,4907219.0,11.0,2020-01-30 13:40:00,4,IDBRBO,ID,Boise River Basin,Banner Open,36.0,37.0,36.0,36.3,44.0,45.0,45.0,44.7, , ,2020-01-30 13:40:00,POINT (-115.23598 44.30461),,,,,,,,,,
14,44.30458,-115.23594,640707.0,4907216.0,11.0,2020-02-06 13:00:00,5,IDBRBO,ID,Boise River Basin,Banner Open,23.0,22.0,23.0,22.7,23.0,19.0,22.0,21.3,No, ,2020-02-06 13:00:00,POINT (-115.23594 44.30458),,,,,,,,,,
15,44.30447,-115.23606,640698.0,4907204.0,11.0,2020-02-13 12:30:00,6,IDBRBO,ID,Boise River Basin,Banner Open,16.5,16.5,16.75,16.6,24.0,24.0,26.0,24.7,No, ,2020-02-13 12:30:00,POINT (-115.23606 44.30447),,,,,,,,,,
16,44.30462,-115.23603,640700.0,4907220.0,11.0,2020-02-19 12:22:00,7,IDBRBO,ID,Boise River Basin,Banner Open,13.5,14.0,14.5,14.0,14.0,16.0,16.0,15.3,No, ,2020-02-19 12:22:00,POINT (-115.23603 44.30462),0.11097776144742966,0.11024454236030579,,,,,,,,
17,44.30454,-115.23603,640700.0,4907211.0,11.0,2020-02-27 12:40:00,8,IDBRBO,ID,Boise River Basin,Banner Open,2.5,2.5,2.5,2.5,4.0,5.0,4.0,4.3,Yes,"wetter towards the bottom, used putty knife to peel up heavy clear snow layer (~1cm).",2020-02-27 12:40:00,POINT (-115.23603 44.30454),,,,,,,,,,
