,date_t2,swe,hn,time_t2,obs_year,swe_a,hn_a,swe_b,hn_b,swe_c,hn_c,den,week,geometry,latitude,longitude,easting,northing,zone,pitid,state,location,site,melt,comments,date_t1,days_between,uv_fp,inc,cor,int_hn_VV,unw_hn_VV,100_cor_VV,100_int_hn,100_unw_hn_VV,int_hn_VH,unw_hn_VH,100_cor_VH,100_unw_hn_VH,int_hn_HV,unw_hn_HV,100_cor_HV,100_unw_hn_HV,int_hn_HH,unw_hn_HH,100_cor_HH,100_unw_hn_HH
21,2020-02-19,0.015300000000000001,0.14,12:22:00,2019-2020,14.0,13.5,16.0,14.0,16.0,14.5,108.95785714285714,7,POINT (-115.23603 44.30462),44.30462,-115.23603,640700.0,4907220.0,11.0,IDBRBO,ID,Boise River Basin,Banner Open,No, ,2020-02-13,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-02-13_2020-02-21.sd.nc,1.0870192050933838,0.3534655272960663,0.1015259176492691,,0.537969708442688,0.11354123055934906,0.1153981164097786,0.18355055153369904,,0.41236454248428345,0.10422979295253754,0.1516580879688263,0.13830018043518066,0.413779616355896,0.10534302145242691,0.11118870228528976,0.20150543749332428,0.48726198077201843,0.11573558300733566
31,2020-02-19,0.0173,0.157,10:45:00,2019-2020,17.0,15.0,17.0,16.0,18.0,16.0,109.86050955414012,7,POINT (-115.23454 44.3036),44.3036,-115.23454,640821.0,4907110.0,11.0,IDBRBS,ID,Boise River Basin,Banner Snotel,No, ,2020-02-13,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-02-13_2020-02-21.sd.nc,0.9133458733558655,0.6995097994804382,0.10128022730350494,0.14681676030158997,0.4996744692325592,0.12867724895477295,0.13221651315689087,0.08980349451303482,0.12235433608293533,0.46760648488998413,0.11865387856960297,0.09496933221817017,0.11642001569271088,0.4678694009780884,0.1215343251824379,0.10837399214506149,0.12621021270751953,0.5141892433166504,0.1343567967414856
154,2020-02-21,0.035,0.17,14:20:00,2019-2020,35.0,17.0, , , , ,205.26470588235296,7,POINT (-116.091 43.757),43.757,-116.091,573175.0,4845285.0,11.0,IDBRBL,ID,Boise River Basin,Bogus Lower,Yes, ,2020-02-14,7 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-02-13_2020-02-21.sd.nc,1.2769908905029297,0.2674572765827179,0.1776713877916336,,0.30032485723495483,0.09359940886497498,,-0.015181200578808784,,0.2988595962524414,,0.17736667394638062,,0.29720020294189453,,0.18936219811439514,,0.31018853187561035,
42,2020-02-20,0.0337,0.187,11:00:00,2019-2020,34.0,18.0,33.0,19.0,34.0,19.0,179.67326203208555,7,POINT (-116.09017 43.75881),43.75881,-116.09017,573240.0,4845487.0,11.0,IDBRBU,ID,Boise River Basin,Bogus Upper,No, ,2020-02-14,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-02-13_2020-02-21.sd.nc,1.2566590309143066,0.35402584075927734,0.046890389174222946,,0.33434242010116577,0.11159788072109222,,0.12169145047664642,,0.3098301887512207,,0.10641775280237198,,0.30787011981010437,,0.1787503957748413,,0.3114244043827057,
174,2020-02-11,0.083,0.39,15:20:00,2019-2020,83.0,39.0, , , , ,212.18205128205128,6,POINT (-115.67506 43.94805),43.94805,-115.67506,606319.0,4866956.0,11.0,IDBRK3_20200211_0320,ID,Boise River Basin,K-3, , ,2020-01-29,13 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-01-31_2020-02-13.sd.nc,1.2727400064468384,0.5768882632255554,-0.02814321406185627,,0.4797704219818115,0.005282511934638023,,-0.01977906934916973,,0.4099598228931427,,0.0028975196182727814,,0.43486738204956055,,0.005837417207658291,,0.42352956533432007,
177,2020-03-03,0.008,0.03,15:20:00,2019-2020,8.0,3.0, , , , ,265.8666666666667,9,POINT (-115.67506 43.94805),43.94805,-115.67506,606319.0,4866956.0,11.0,IDBRK3_20200303_1520,ID,Boise River Basin,K-3, , ,2020-02-26,6 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-02-03_2021-02-10.sd.nc,1.2727400064468384,0.7119069695472717,-0.07983127236366272,-0.06702964752912521,0.5234841704368591,-0.06015491113066673,-0.05798618867993355,-0.15550948679447174,-0.08932700008153915,0.415761798620224,-0.05869632214307785,-0.14129018783569336,-0.09769711643457413,0.44294974207878113,-0.05709657445549965,-0.05738655850291252,-0.0742911845445633,0.4848107397556305,-0.06714138388633728
184,2020-03-11,0.019,0.08,15:40:00,2019-2020,19.0,8.0, , , , ,236.7875,10,POINT (-115.67213 43.94712),43.94712,-115.67213,606556.0,4866857.0,11.0,IDBRK4_20200311_1540,ID,Boise River Basin,K-4, , ,2020-03-03,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2021-02-03_2021-02-10.sd.nc,1.2890677452087402,0.37793731689453125,-0.06561105698347092,-0.041324764490127563,0.4428049921989441,-0.03345134109258652,-0.02496308647096157,-0.06308422237634659,-0.04189607873558998,0.38280633091926575,-0.026443075388669968,-0.05146622285246849,-0.04078720882534981,0.387012779712677,-0.026176817715168,-0.0773785412311554,-0.03413781896233559,0.40458157658576965,-0.03098978102207184
7,2020-02-12,0.0427,0.11,15:19:00,2019-2020,44.0,11.0,39.0,11.0,45.0,11.0,387.0172727272727,6,POINT (-116.12188 43.73705),43.73705,-116.12188,570713.0,4843043.0,11.0,IDBRLO,ID,Boise River Basin,LDP Open,Yes, ,2020-01-31,12 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-01-31_2020-02-13.sd.nc,1.2658731937408447,0.6482797265052795,0.10323801636695862,,0.34428972005844116,0.04807419702410698,,0.12287574261426926,,0.3300227224826813,,0.12805606424808502,,0.33265647292137146,,0.11990709602832794,,0.3453563153743744,
8,2020-02-20,0.0277,0.155,08:45:00,2019-2020,29.0,16.0,25.0,15.0,29.0,15.5,178.1735483870968,7,POINT (-116.12185 43.73703),43.73703,-116.12185,570715.0,4843041.0,11.0,IDBRLO,ID,Boise River Basin,LDP Open,No, ,2020-02-12,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-02-13_2020-02-21.sd.nc,1.2658731937408447,0.2674257755279541,0.15233750641345978,0.12835142016410828,0.43095019459724426,0.09892889857292175,0.14588411152362823,0.08538234233856201,,0.4020361304283142,0.13159847259521484,0.09037366509437561,,0.4035615622997284,0.14480777084827423,0.1910545527935028,,0.4309558868408203,0.1638951599597931
13,2020-02-20,0.024300000000000002,0.145,10:42:00,2019-2020,22.0,14.0,26.0,15.0,25.0,14.5,167.08344827586208,7,POINT (-116.12052 43.73634),43.73634,-116.12052,570823.0,4842965.0,11.0,IDBRLT,ID,Boise River Basin,LDP Tree,No, ,2020-02-12,8 days,/bsuscratch/zacharykeskinen/data/uavsar/ncs/232_2020-02-13_2020-02-21.sd.nc,1.2091959714889526,0.3808526396751404,0.1981227695941925,,0.37568235397338867,0.06320039927959442,0.05538162961602211,-0.034979186952114105,,0.36117538809776306,0.03461502492427826,0.20523542165756226,,0.3565956950187683,0.04414890334010124,-0.025682857260107994,,0.3913879692554474,0.015431253239512444
