stat,loc,date,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0,180.0-185.0,185.0-190.0,190.0-195.0,195.0-200.0,200.0-205.0,205.0-210.0,210.0-215.0,215.0-220.0,220.0-225.0,225.0-230.0,230.0-235.0,235.0-240.0,240.0-245.0,245.0-250.0,250.0-255.0,255.0-260.0,260.0-265.0,265.0-270.0,270.0-275.0,275.0-280.0,280.0-285.0,285.0-290.0,290.0-295.0,295.0-300.0,300.0-305.0,305.0-310.0,310.0-315.0,315.0-320.0,320.0-325.0,325.0-330.0,330.0-335.0,335.0-340.0,340.0-345.0,345.0-350.0,350.0-355.0
n,Banner,2020-02-18,83112.0,84220.0,84712.0,83789.0,84338.0,84389.0,83262.0,81753.0,83803.0,84283.0,85435.0,87835.0,90975.0,94158.0,98489.0,102352.0,106488.0,110079.0,113435.0,112313.0,110482.0,109553.0,107601.0,105364.0,101954.0,97901.0,93970.0,89289.0,84733.0,80733.0,75575.0,70535.0,65262.0,60091.0,55025.0,49364.0,46623.0,45713.0,46749.0,49996.0,54674.0,59985.0,64199.0,66721.0,69956.0,73669.0,78823.0,83713.0,88113.0,93303.0,98099.0,101372.0,102822.0,99550.0,97667.0,97024.0,97258.0,94958.0,93119.0,90366.0,88640.0,85635.0,84523.0,83499.0,82440.0,82197.0,82012.0,81233.0,80883.0,81411.0,82171.0
r,Banner,2020-02-18,0.15797125860782169,0.164060861999901,0.14821638606888252,0.12559868977366365,0.10388716487283466,0.08730197206801082,0.06491812530697802,0.042115068555635876,0.028644820498269177,-0.00017141331966419315,-0.009162282884223254,-0.03631742919220864,-0.0656374031482945,-0.07403900151514993,-0.09692567429427393,-0.11466279242655701,-0.12230153103895272,-0.1238800766720817,-0.11567733613813302,-0.11230931870544357,-0.10629843776909192,-0.10143686719026213,-0.08998122839464077,-0.07161305543741196,-0.0571082007695331,-0.05847384584673816,-0.04422183881729245,-0.04042115413889982,-0.03202699105012652,-0.0271368162138006,-0.019238184067860428,0.005804396123435033,0.0426881031275207,0.073193296385494,0.10236827361147503,0.06333965344891528,0.043884266618876025,0.03507593895579824,0.051556400162325496,0.05906919296979761,0.05771278424644108,0.05005408902261092,0.02281489149229683,0.016268750243380273,0.0035389538171816644,-0.0010210745862210286,-0.0004203516323402351,0.007597531157928663,0.0015724463240838066,0.00588738495925591,-0.0012902081322450109,0.003615008494499544,0.0028521870981088396,0.008938887168870153,0.009291052578924604,0.01502242255995789,0.03795624890902488,0.05122787258794371,0.07228386945928057,0.08913093890759582,0.11315905459966036,0.12779483063880856,0.1470640775916214,0.16659997051370642,0.17529551241969235,0.19208634771095423,0.19520888263278233,0.1903612583643463,0.19467846601191402,0.19590540461529302,0.19286853794567088
rmse,Banner,2020-02-18,0.8064362406730652,0.8259692788124084,0.8520879149436951,0.8793705105781555,0.9053698778152466,0.9287037253379822,0.9482084512710571,0.9643382430076599,0.9823736548423767,0.999261200428009,1.0021075010299683,1.0212812423706055,1.026887059211731,1.0366111993789673,1.0334070920944214,1.0400242805480957,1.038578748703003,1.039286732673645,1.0253188610076904,1.0175608396530151,1.0047138929367065,0.9889674186706543,0.9719221591949463,0.9556469321250916,0.9440672397613525,0.932206928730011,0.9178248047828674,0.902343213558197,0.8986539244651794,0.8874908089637756,0.8782727122306824,0.8552522659301758,0.8365303874015808,0.8153491020202637,0.7946200370788574,0.7855854630470276,0.7856712937355042,0.7693288922309875,0.7456942200660706,0.7271714210510254,0.7143827676773071,0.7057809829711914,0.6990941762924194,0.6912121772766113,0.679983913898468,0.6659318804740906,0.656025767326355,0.6374070048332214,0.6254181861877441,0.6133215427398682,0.5988186001777649,0.5827721357345581,0.5721836090087891,0.5589494109153748,0.5588679909706116,0.5635849833488464,0.5626737475395203,0.5679405331611633,0.5713233351707458,0.5820741057395935,0.5812619924545288,0.5951778292655945,0.6067895293235779,0.6176862120628357,0.6248732209205627,0.643157958984375,0.6555398106575012,0.6748172640800476,0.6904376149177551,0.7181555032730103,0.7494667768478394
n,Banner,2021-03-15,83112.0,84220.0,84712.0,83789.0,84337.0,84389.0,83262.0,81753.0,83803.0,84283.0,85435.0,87835.0,90975.0,94158.0,98488.0,102352.0,106488.0,110079.0,113435.0,112315.0,110483.0,109552.0,107600.0,105364.0,101954.0,97902.0,93967.0,89288.0,84733.0,80732.0,75574.0,70533.0,65262.0,60089.0,55024.0,49362.0,46622.0,45710.0,46744.0,49999.0,54674.0,59984.0,64198.0,66722.0,69958.0,73670.0,78823.0,83713.0,88113.0,93303.0,98098.0,101372.0,102821.0,99550.0,97667.0,97024.0,97258.0,94958.0,93119.0,90366.0,88640.0,85635.0,84522.0,83501.0,82440.0,82197.0,82012.0,81233.0,80883.0,81412.0,82172.0
r,Banner,2021-03-15,0.04938118827356417,0.03298078990016526,0.015199665808149646,-0.008770841169649518,-0.03037063302913435,-0.051783107617568686,-0.07071982000780232,-0.09208190634876452,-0.09849353224679022,-0.10838522398245896,-0.11578537366050379,-0.1198708750933074,-0.12720469785464833,-0.12416123955878552,-0.1246699228447619,-0.11454560576574302,-0.10407071321206429,-0.08601472662401928,-0.069298772374615,-0.050664501103450825,-0.0330186042186505,-0.017038781204177265,0.0019716688481859375,0.019016811885066674,0.03493625934512262,0.04345707195542137,0.053761626276609575,0.0692488831091036,0.08133545288262498,0.09174412621470138,0.10337907017445797,0.11467859301323627,0.12950802124558458,0.15107827884106576,0.1624426361310301,0.1443023746568013,0.1319164444131604,0.12188842256079092,0.13226748117560033,0.10888679461543427,0.10094446041849328,0.0825041764566779,0.05865755957846629,0.04561130563424101,0.04066046022994741,0.0368397754221316,0.034916330332176136,0.043861793983387354,0.048950834020169524,0.06136734366338171,0.07905566949207889,0.10412550992494861,0.1218054849071729,0.13973376829268305,0.14058404163420032,0.14639129451167682,0.16120545966336558,0.16074911699499236,0.16461307890972007,0.16747864867283713,0.18208317139532024,0.17482792955297655,0.17977539235296325,0.18548399950403957,0.19330966819922293,0.19247217823005836,0.1836241019848432,0.16224350267926393,0.14914908345996894,0.13140397895849218,0.10748794361593307
rmse,Banner,2021-03-15,1.336515188217163,1.362113118171692,1.375644564628601,1.401063323020935,1.421789526939392,1.4447603225708008,1.4665513038635254,1.481825828552246,1.4927356243133545,1.501705288887024,1.497828722000122,1.5082225799560547,1.5013846158981323,1.4983959197998047,1.481324553489685,1.467444658279419,1.4452152252197266,1.421990156173706,1.3923758268356323,1.3618510961532593,1.3268828392028809,1.2928929328918457,1.2593088150024414,1.230034351348877,1.2041021585464478,1.1788294315338135,1.1546379327774048,1.13091242313385,1.111721158027649,1.0893936157226562,1.0730921030044556,1.0488760471343994,1.0292551517486572,1.006285548210144,0.990978479385376,0.991872251033783,1.001025915145874,1.0023045539855957,0.9932177066802979,1.000880241394043,1.0149633884429932,1.0286508798599243,1.0425182580947876,1.0560067892074585,1.0596271753311157,1.0574764013290405,1.0630466938018799,1.0595929622650146,1.057550311088562,1.0588302612304688,1.0515997409820557,1.0459760427474976,1.0438377857208252,1.0414323806762695,1.0462956428527832,1.054331660270691,1.0621622800827026,1.0733054876327515,1.0821268558502197,1.0955666303634644,1.1038320064544678,1.122233271598816,1.1342220306396484,1.1472512483596802,1.1549628973007202,1.1716163158416748,1.1881752014160156,1.20188570022583,1.2260528802871704,1.251255989074707,1.2827714681625366
n,Dry_Creek,2020-02-19,14828.0,14185.0,14591.0,15319.0,15042.0,14395.0,14474.0,14926.0,14515.0,14907.0,15242.0,15056.0,15338.0,15581.0,16173.0,16539.0,16920.0,18009.0,18932.0,19264.0,18985.0,18761.0,18012.0,17535.0,16993.0,16722.0,16816.0,16851.0,17043.0,17277.0,17914.0,18611.0,19085.0,19611.0,19917.0,20270.0,20492.0,20496.0,20445.0,20491.0,20871.0,21425.0,21913.0,21988.0,22715.0,22488.0,23144.0,23694.0,24124.0,24439.0,24920.0,25440.0,25671.0,25797.0,25852.0,25228.0,23218.0,22659.0,21067.0,19886.0,19414.0,19075.0,18867.0,18438.0,17836.0,17724.0,17305.0,16805.0,16711.0,16060.0,15361.0
r,Dry_Creek,2020-02-19,0.055474768077365455,0.037022665287620535,0.01526023700989372,0.005525875885063463,-0.012052260637101735,-0.024130121624820235,-0.040279920697696175,-0.04888162773796046,-0.03862557437576334,-0.0582572877165743,-0.03732464436407938,-0.03235334210614259,-0.038540834021364004,-0.02317351950790761,-0.007338253937262076,0.005789339639954122,0.005124239728504794,0.016091338524168934,0.05801948628214777,0.08380630233380534,0.0928499239477732,0.095579149753972,0.09169496534325143,0.08457430479385147,0.09993351475113994,0.09834518076179886,0.0753070932210555,0.09318283964222726,0.08090612588437097,0.0924875026720228,0.07270960558213871,0.07649798609653828,0.06688144994364308,0.07554218597414887,0.06582202293957966,0.06665751195571938,0.07392719551764057,0.08097250174992916,0.07892528954278032,0.08997445606825473,0.10158956596505583,0.09985457554496374,0.11827544460535946,0.12355475636657845,0.1270823732331187,0.14951429476811656,0.17966400201224478,0.17841883185550061,0.18669098996084443,0.20965756476268996,0.22890063937863897,0.23004806679288797,0.2266524705191743,0.2517221298947345,0.2568119919546974,0.2584964684338523,0.2561682985426633,0.251788011341352,0.2549643736954504,0.25176964865472595,0.25274179821732956,0.25985471138246635,0.2495019874097404,0.2514302870864647,0.2463464954137096,0.24519277787505556,0.21601007432259756,0.17335312412078607,0.19172698270581906,0.16272663371677756,0.11879229088723757
rmse,Dry_Creek,2020-02-19,0.4996909499168396,0.5122054815292358,0.5312790870666504,0.5354191660881042,0.5609791278839111,0.5927984118461609,0.61695396900177,0.6309282779693604,0.66993248462677,0.6915584802627563,0.7158875465393066,0.7231853008270264,0.7432641386985779,0.7541715502738953,0.7706605195999146,0.7903635501861572,0.8055832982063293,0.8169721961021423,0.8127983808517456,0.7952717542648315,0.7673931121826172,0.7501685619354248,0.7323684692382812,0.7078335881233215,0.6763514280319214,0.6656326651573181,0.6394314169883728,0.6304683685302734,0.6172941327095032,0.6017186641693115,0.5865611433982849,0.5849257707595825,0.5743528604507446,0.5726780295372009,0.5662427544593811,0.5652743577957153,0.5758452415466309,0.5176587700843811,0.4989236891269684,0.4802829623222351,0.4732740819454193,0.46231141686439514,0.44827917218208313,0.44707342982292175,0.44656702876091003,0.42996031045913696,0.4213217794895172,0.421035498380661,0.42041099071502686,0.4178304970264435,0.4168258011341095,0.4193112254142761,0.4206438362598419,0.4135954678058624,0.41280511021614075,0.41673967242240906,0.4200601577758789,0.4194110035896301,0.4257536232471466,0.43246087431907654,0.43816861510276794,0.44221916794776917,0.4449390172958374,0.45094814896583557,0.4500029385089874,0.44653019309043884,0.45470374822616577,0.46596235036849976,0.4493868947029114,0.4574892222881317,0.48718687891960144
n,Mores,2020-02-09,9090.0,9276.0,9858.0,10622.0,11538.0,12636.0,13841.0,14936.0,15807.0,16785.0,17308.0,18276.0,18916.0,19988.0,20754.0,21213.0,21703.0,21623.0,21324.0,21465.0,21552.0,20754.0,20564.0,19771.0,20030.0,19938.0,19591.0,19621.0,19332.0,19405.0,18697.0,18019.0,17367.0,16574.0,17147.0,16795.0,16749.0,17247.0,18112.0,18058.0,17847.0,17217.0,16641.0,16334.0,16553.0,16770.0,16817.0,16284.0,15588.0,14879.0,13939.0,12856.0,12369.0,11733.0,11454.0,11235.0,11121.0,11092.0,10943.0,10653.0,9972.0,9472.0,9639.0,9122.0,9214.0,9290.0,8948.0,8943.0,8887.0,8171.0,8392.0
