stat,loc,date,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0
n,Banner,2020-02-18,629489.0,577676.0,694313.0,770551.0,799134.0,787150.0,724477.0,578942.0,351257.0,114443.0,37090.0,14930.0,6344.0,2323.0,611.0
r,Banner,2020-02-18,0.1551509186387189,0.12786991933808112,0.08225622301197055,0.047812106445696695,0.0447295466791167,0.023397051658462554,0.04821560819002695,0.14778085490799003,0.19400156875669466,0.17039469628162857,0.18654750067528936,0.18458587926878628,0.17538298891330972,0.17014751188277025,0.14215144543959646
rmse,Banner,2020-02-18,0.4741406738758087,0.6535954475402832,0.7522845268249512,0.8089728951454163,0.8510606288909912,0.8857093453407288,0.9134646654129028,0.919664740562439,0.9204870462417603,1.0085062980651855,1.1360028982162476,1.23456609249115,1.3577325344085693,1.4653946161270142,1.7574493885040283
n,Banner,2021-03-15,629498.0,577680.0,694313.0,770550.0,799132.0,787148.0,724474.0,578938.0,351248.0,114437.0,37090.0,14929.0,6343.0,2323.0,611.0
r,Banner,2021-03-15,0.12689740999100807,0.0151046533595706,0.04017176713380601,0.09240055846720623,0.15276894982601713,0.17314377576826712,0.2318297343158489,0.3424311410805201,0.39110203921582876,0.36220588233933715,0.3544624934431755,0.29003639868754866,0.24255518845877339,0.13842035830627147,0.06239424904373879
rmse,Banner,2021-03-15,0.9089308977127075,1.11978280544281,1.221850037574768,1.2709747552871704,1.2925280332565308,1.2959972620010376,1.284055471420288,1.2501025199890137,1.2261298894882202,1.3352515697479248,1.4676330089569092,1.582602858543396,1.637491226196289,1.920846939086914,2.7404720783233643
n,Dry_Creek,2020-02-19,15204.0,40844.0,98934.0,196478.0,296615.0,334166.0,249683.0,107030.0,20010.0,2376.0,377.0,141.0,67.0,,
r,Dry_Creek,2020-02-19,-0.06814902270275089,-0.013324558876102215,0.06725630861849016,0.11874727949655675,0.14020221713067899,0.17548815607141569,0.1316078289176978,-0.012486495784992013,-0.15774959966683816,-0.15602265385475422,0.11527973817654237,-0.04818384897537782,0.14247429797926134,,
rmse,Dry_Creek,2020-02-19,0.8050221800804138,0.5440881848335266,0.5254273414611816,0.5324815511703491,0.5402713418006897,0.5491816401481628,0.5659323930740356,0.5934587121009827,0.7105376124382019,0.8911331295967102,0.9637720584869385,1.1801165342330933,1.1281542778015137,,
n,Mores,2020-02-09,19294.0,75020.0,137051.0,173411.0,195291.0,203440.0,166390.0,87684.0,27755.0,5983.0,1282.0,432.0,183.0,107.0,32.0
r,Mores,2020-02-09,0.16681361143095244,0.06246919893009636,0.06304291141793895,0.08066531523673609,0.06407258218534403,0.09089134274363017,0.11950382911528062,0.15513044836565582,0.1707239687826744,0.1584754008250281,0.1156396677414035,0.09797525474397759,-0.08676881579071448,-0.008220767194568587,0.17136190144245328
rmse,Mores,2020-02-09,1.1960883140563965,1.2416489124298096,1.2673894166946411,1.2680424451828003,1.270192265510559,1.2616028785705566,1.2694287300109863,1.2795823812484741,1.3167362213134766,1.303955078125,1.3053992986679077,1.1540486812591553,2.2294108867645264,1.874548077583313,1.0923155546188354
n,Mores,2021-03-15,19295.0,75020.0,137050.0,173411.0,195291.0,203439.0,166388.0,87683.0,27755.0,5983.0,1282.0,432.0,183.0,107.0,32.0
r,Mores,2021-03-15,0.10651417465083998,0.11385417733779457,0.17470454373998795,0.2418486123192553,0.2783108034976919,0.33112538740323255,0.3842854259695958,0.3881731909819115,0.3313237568579821,0.3032594678429644,0.199419780328674,0.14142014075476583,-0.044012581526257574,0.1777789270935663,-0.15110477607920092
rmse,Mores,2021-03-15,1.5610789060592651,1.6095283031463623,1.598382592201233,1.5321757793426514,1.451888918876648,1.3758258819580078,1.3136793375015259,1.2732633352279663,1.303647518157959,1.3760664463043213,1.459617257118225,1.7178632020950317,2.6319751739501953,4.224912166595459,5.618050575256348
