stat,loc,date,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0,180.0-185.0,185.0-190.0,190.0-195.0,195.0-200.0,200.0-205.0,205.0-210.0,210.0-215.0,215.0-220.0,220.0-225.0,225.0-230.0,230.0-235.0,235.0-240.0,240.0-245.0,245.0-250.0,250.0-255.0,255.0-260.0,260.0-265.0,265.0-270.0,270.0-275.0,275.0-280.0,280.0-285.0,285.0-290.0,290.0-295.0,295.0-300.0,300.0-305.0,305.0-310.0,310.0-315.0,315.0-320.0,320.0-325.0,325.0-330.0,330.0-335.0,335.0-340.0,340.0-345.0,345.0-350.0,350.0-355.0
n,Mores,2020-02-09,9090.0,9276.0,9858.0,10622.0,11538.0,12636.0,13841.0,14936.0,15807.0,16785.0,17308.0,18276.0,18916.0,19988.0,20754.0,21213.0,21703.0,21623.0,21324.0,21465.0,21552.0,20754.0,20564.0,19771.0,20030.0,19938.0,19591.0,19621.0,19332.0,19405.0,18697.0,18019.0,17367.0,16574.0,17147.0,16795.0,16749.0,17247.0,18112.0,18058.0,17847.0,17217.0,16641.0,16334.0,16553.0,16770.0,16817.0,16284.0,15588.0,14879.0,13939.0,12856.0,12369.0,11733.0,11454.0,11235.0,11121.0,11092.0,10943.0,10653.0,9972.0,9472.0,9639.0,9122.0,9214.0,9290.0,8948.0,8943.0,8887.0,8171.0,8392.0
r,Mores,2020-02-09,-0.015209639250362368,0.0088178736062458,-0.014107476117828041,-0.013830171349789082,-0.025619481053723765,-0.03447489332013001,-0.01643911985977358,-0.005733213994888693,0.02108338466963131,0.03521317485854544,0.03720403016082814,0.06722755119781856,0.07073790999382037,0.08235800924885327,0.08722196321927514,0.07924835849084065,0.08824791226302005,0.10153225341668058,0.10019743484269106,0.09716615644928037,0.08075486523269346,0.10107112107965674,0.10321481648347224,0.09547466511437588,0.10149679877442752,0.10721242718750096,0.11439703003323644,0.11037965559115497,0.13765743721172766,0.12534917711736196,0.13543935163932946,0.14475427996596701,0.15763841493319974,0.1583156404721653,0.15493654010998514,0.17848372404362015,0.16770456196583963,0.20066194127184578,0.18157355826023097,0.17687910851134528,0.15293018091074118,0.13923731999106848,0.11617873483317992,0.12237109409758548,0.12546208634847508,0.10728625170579822,0.08961989847873356,0.09774756153396971,0.10795174321532422,0.08298155858278695,0.08026859504689181,0.039028106529916895,0.045178853923122,0.035605527097406144,0.01180587998385718,0.010238097708409262,-0.028509335521640075,-0.00961803343300521,-0.013053311576248394,0.005132569763086396,-0.015361984818260071,-0.015817651285123323,-0.039589709450714404,-0.021414985817718547,-0.020344578886512747,-0.044668776732789475,-0.021762984706691947,-0.03923352736594186,-0.01716853144105948,-0.03177852094067108,-3.2181360899245217e-06
rmse,Mores,2020-02-09,1.1239575147628784,1.1739981174468994,1.2141295671463013,1.261296272277832,1.289963960647583,1.310889720916748,1.3444136381149292,1.384093165397644,1.3961485624313354,1.4245754480361938,1.4349833726882935,1.4431763887405396,1.4489706754684448,1.4584730863571167,1.4630787372589111,1.4652291536331177,1.461212158203125,1.4554269313812256,1.4490714073181152,1.4353801012039185,1.4247119426727295,1.4092124700546265,1.403602957725525,1.3855111598968506,1.3687472343444824,1.3648761510849,1.3499844074249268,1.333815574645996,1.3209940195083618,1.3062597513198853,1.2863144874572754,1.2696843147277832,1.2507216930389404,1.2446922063827515,1.2434810400009155,1.23015558719635,1.2258769273757935,1.2077710628509521,1.2089804410934448,1.1989532709121704,1.2001434564590454,1.1931085586547852,1.1899645328521729,1.1887391805648804,1.1869730949401855,1.1766830682754517,1.1876955032348633,1.1681694984436035,1.1653690338134766,1.1511391401290894,1.1314224004745483,1.094679355621338,1.077620029449463,1.0616645812988281,1.0462300777435303,1.0117580890655518,1.0104891061782837,0.9845783710479736,0.9764413237571716,0.9667905569076538,0.9680336117744446,0.9841775298118591,0.9947847723960876,0.9804105162620544,0.9973625540733337,0.9901143312454224,0.9962438344955444,1.0068944692611694,1.031788945198059,1.06427001953125,1.081723690032959
n,Mores,2021-03-15,9091.0,9276.0,9858.0,10622.0,11538.0,12636.0,13841.0,14936.0,15807.0,16785.0,17308.0,18276.0,18916.0,19988.0,20754.0,21213.0,21703.0,21623.0,21324.0,21465.0,21552.0,20753.0,20564.0,19772.0,20030.0,19938.0,19591.0,19621.0,19331.0,19405.0,18696.0,18018.0,17366.0,16574.0,17147.0,16795.0,16749.0,17247.0,18112.0,18057.0,17847.0,17217.0,16640.0,16334.0,16553.0,16770.0,16817.0,16285.0,15588.0,14879.0,13939.0,12856.0,12369.0,11733.0,11454.0,11235.0,11121.0,11092.0,10943.0,10653.0,9972.0,9472.0,9639.0,9122.0,9214.0,9290.0,8948.0,8943.0,8887.0,8171.0,8392.0
r,Mores,2021-03-15,0.0534575302164959,0.066420305748441,0.0729721139501123,0.07654506178583186,0.09176624466694226,0.10539073422940848,0.1321833309271607,0.14006042243031347,0.12229552021187767,0.15537862846784473,0.14334653557046326,0.1402518885755952,0.1407157148505792,0.13201773566145786,0.11455725796941435,0.09418845948599712,0.08204473962237802,0.09816381256165704,0.09595098034303373,0.0920346013065468,0.09211838565215745,0.09097729720717235,0.10033427042853856,0.09329053141028153,0.09477283997123895,0.09402533913784815,0.08929296473989788,0.09522801167757064,0.09666823289237739,0.09557381038669185,0.0858719293945332,0.09507581507820455,0.10300088073660145,0.10051812617087218,0.08821904263276116,0.09617274099837989,0.09815971031588618,0.09292297853873932,0.09649215668171275,0.11419485538994077,0.13648545234617815,0.14335453143411528,0.17746952721739967,0.19268572970262796,0.19926820202455828,0.2224228894568757,0.19862841936743222,0.22733146714815627,0.2471397201266559,0.23215715156852346,0.20929229137168823,0.1474832764329291,0.16325655561611127,0.1289141261704158,0.13475548720046254,0.1256622150684877,0.07078627222582845,0.09308833401753716,0.08524332671326179,0.08453845029776043,0.06997134687245189,0.055326906030053635,0.022785031725140348,0.03483608719420977,0.02005553850939184,0.01608832471115061,0.003382105962261743,0.024263735457095235,0.018851321733183025,0.026234761693123644,0.06682385348126443
rmse,Mores,2021-03-15,1.5517245531082153,1.5816938877105713,1.6039291620254517,1.6365149021148682,1.652595043182373,1.6527220010757446,1.676356554031372,1.6963914632797241,1.7044237852096558,1.7110302448272705,1.7118924856185913,1.7109214067459106,1.7067255973815918,1.7046566009521484,1.6972302198410034,1.6863960027694702,1.6695797443389893,1.6456031799316406,1.6084203720092773,1.56969153881073,1.530992865562439,1.492042064666748,1.4669311046600342,1.4293527603149414,1.3978286981582642,1.3824363946914673,1.3462905883789062,1.3188868761062622,1.2941473722457886,1.2619432210922241,1.2364985942840576,1.2198456525802612,1.1951276063919067,1.1979200839996338,1.2057193517684937,1.202321171760559,1.2102910280227661,1.181410551071167,1.1874334812164307,1.1939005851745605,1.2087265253067017,1.2159472703933716,1.2228312492370605,1.2434229850769043,1.2729653120040894,1.2821096181869507,1.3174350261688232,1.3293417692184448,1.3395791053771973,1.3650537729263306,1.3700387477874756,1.4070967435836792,1.385491967201233,1.4122875928878784,1.4188793897628784,1.4147975444793701,1.4404222965240479,1.428430199623108,1.4273204803466797,1.4227286577224731,1.4348100423812866,1.4473507404327393,1.458685040473938,1.444190263748169,1.459324836730957,1.4587175846099854,1.4669300317764282,1.4762393236160278,1.4942498207092285,1.5075451135635376,1.5214645862579346
n,Banner,2020-02-18,83112.0,84220.0,84712.0,83789.0,84338.0,84389.0,83262.0,81753.0,83803.0,84283.0,85435.0,87835.0,90975.0,94158.0,98489.0,102352.0,106488.0,110079.0,113435.0,112313.0,110482.0,109553.0,107601.0,105364.0,101954.0,97901.0,93970.0,89289.0,84733.0,80733.0,75575.0,70535.0,65262.0,60091.0,55025.0,49364.0,46623.0,45713.0,46749.0,49996.0,54674.0,59985.0,64199.0,66721.0,69956.0,73669.0,78823.0,83713.0,88113.0,93303.0,98099.0,101372.0,102822.0,99550.0,97667.0,97024.0,97258.0,94958.0,93119.0,90366.0,88640.0,85635.0,84523.0,83499.0,82440.0,82197.0,82012.0,81233.0,80883.0,81411.0,82171.0
r,Banner,2020-02-18,0.15797125860782166,0.16406086199990097,0.1482163860688825,0.12559868977366362,0.10388716487283468,0.08730197206801081,0.064918125306978,0.04211506855563589,0.028644820498269184,-0.00017141331966420703,-0.00916228288422324,-0.03631742919220865,-0.0656374031482945,-0.07403900151514992,-0.09692567429427396,-0.114662792426557,-0.12230153103895271,-0.12388007667208167,-0.11567733613813308,-0.11230931870544357,-0.10629843776909191,-0.10143686719026214,-0.08998122839464079,-0.07161305543741195,-0.0571082007695331,-0.05847384584673816,-0.04422183881729244,-0.04042115413889985,-0.03202699105012653,-0.027136816213800593,-0.019238184067860424,0.005804396123435036,0.04268810312752071,0.07319329638549397,0.10236827361147499,0.06333965344891528,0.04388426661887602,0.035075938955798226,0.051556400162325516,0.059069192969797624,0.05771278424644108,0.05005408902261094,0.022814891492296825,0.016268750243380266,0.003538953817181653,-0.0010210745862210217,-0.00042035163234023683,0.007597531157928652,0.0015724463240838005,0.005887384959255899,-0.001290208132245025,0.0036150084944995492,0.0028521870981088413,0.00893888716887014,0.009291052578924593,0.015022422559957897,0.03795624890902487,0.05122787258794369,0.07228386945928056,0.08913093890759582,0.11315905459966036,0.1277948306388086,0.14706407759162143,0.16659997051370642,0.17529551241969232,0.19208634771095423,0.19520888263278233,0.19036125836434636,0.1946784660119141,0.19590540461529293,0.19286853794567083
rmse,Banner,2020-02-18,0.8064362406730652,0.8259692788124084,0.8520879149436951,0.8793705105781555,0.9053698778152466,0.9287037253379822,0.9482084512710571,0.9643382430076599,0.9823736548423767,0.999261200428009,1.0021075010299683,1.0212812423706055,1.026887059211731,1.0366111993789673,1.0334070920944214,1.0400242805480957,1.038578748703003,1.039286732673645,1.0253188610076904,1.0175608396530151,1.0047138929367065,0.9889674186706543,0.9719221591949463,0.9556469321250916,0.9440672397613525,0.932206928730011,0.9178248047828674,0.902343213558197,0.8986539244651794,0.8874908089637756,0.8782727122306824,0.8552522659301758,0.8365303874015808,0.8153491020202637,0.7946200370788574,0.7855854630470276,0.7856712937355042,0.7693288922309875,0.7456942200660706,0.7271714210510254,0.7143827676773071,0.7057809829711914,0.6990941762924194,0.6912121772766113,0.679983913898468,0.6659318804740906,0.656025767326355,0.6374070048332214,0.6254181861877441,0.6133215427398682,0.5988186001777649,0.5827721357345581,0.5721836090087891,0.5589494109153748,0.5588679909706116,0.5635849833488464,0.5626737475395203,0.5679405331611633,0.5713233351707458,0.5820741057395935,0.5812619924545288,0.5951778292655945,0.6067895293235779,0.6176862120628357,0.6248732209205627,0.643157958984375,0.6555398106575012,0.6748172640800476,0.6904376149177551,0.7181555032730103,0.7494667768478394
n,Banner,2021-03-15,83112.0,84220.0,84712.0,83789.0,84337.0,84389.0,83262.0,81753.0,83803.0,84283.0,85435.0,87835.0,90975.0,94158.0,98488.0,102352.0,106488.0,110079.0,113435.0,112315.0,110483.0,109552.0,107600.0,105364.0,101954.0,97902.0,93967.0,89288.0,84733.0,80732.0,75574.0,70533.0,65262.0,60089.0,55024.0,49362.0,46622.0,45710.0,46744.0,49999.0,54674.0,59984.0,64198.0,66722.0,69958.0,73670.0,78823.0,83713.0,88113.0,93303.0,98098.0,101372.0,102821.0,99550.0,97667.0,97024.0,97258.0,94958.0,93119.0,90366.0,88640.0,85635.0,84522.0,83501.0,82440.0,82197.0,82012.0,81233.0,80883.0,81412.0,82172.0
r,Banner,2021-03-15,0.04938118827356418,0.032980789900165244,0.015199665808149639,-0.008770841169649502,-0.03037063302913435,-0.051783107617568686,-0.0707198200078023,-0.0920819063487645,-0.09849353224679025,-0.10838522398245895,-0.11578537366050379,-0.1198708750933074,-0.12720469785464833,-0.12416123955878554,-0.12466992284476192,-0.11454560576574299,-0.10407071321206426,-0.08601472662401924,-0.06929877237461503,-0.05066450110345085,-0.0330186042186505,-0.017038781204177275,0.0019716688481859253,0.019016811885066667,0.03493625934512262,0.04345707195542135,0.05376162627660956,0.06924888310910357,0.08133545288262496,0.09174412621470139,0.10337907017445794,0.11467859301323619,0.12950802124558458,0.15107827884106573,0.1624426361310301,0.14430237465680126,0.13191644441316036,0.12188842256079087,0.13226748117560033,0.10888679461543425,0.10094446041849323,0.08250417645667787,0.0586575595784663,0.04561130563424104,0.04066046022994742,0.0368397754221316,0.03491633033217612,0.04386179398338734,0.04895083402016952,0.06136734366338168,0.07905566949207887,0.1041255099249486,0.12180548490717295,0.13973376829268305,0.14058404163420032,0.1463912945116768,0.1612054596633656,0.16074911699499236,0.16461307890972007,0.1674786486728371,0.18208317139532015,0.17482792955297646,0.17977539235296325,0.18548399950403963,0.19330966819922288,0.19247217823005838,0.1836241019848432,0.16224350267926382,0.14914908345996894,0.13140397895849218,0.10748794361593315
