stat,loc,date,0.0-1.0,1.0-2.0,2.0-3.0,3.0-4.0,4.0-5.0,5.0-6.0,6.0-7.0,7.0-8.0,8.0-9.0,9.0-10.0,10.0-11.0,11.0-12.0,12.0-13.0,13.0-14.0,14.0-15.0,15.0-16.0,16.0-17.0,17.0-18.0,18.0-19.0,19.0-20.0,20.0-21.0,21.0-22.0,22.0-23.0,23.0-24.0,24.0-25.0,25.0-26.0,26.0-27.0,27.0-28.0,28.0-29.0,29.0-30.0,30.0-31.0,31.0-32.0,32.0-33.0,33.0-34.0,34.0-35.0,35.0-36.0,36.0-37.0,37.0-38.0,38.0-39.0,39.0-40.0,40.0-41.0,41.0-42.0,42.0-43.0,43.0-44.0,44.0-45.0,45.0-46.0,46.0-47.0,47.0-48.0,48.0-49.0,49.0-50.0,50.0-51.0,51.0-52.0,52.0-53.0,53.0-54.0,54.0-55.0,55.0-56.0,56.0-57.0,57.0-58.0,58.0-59.0,59.0-60.0,60.0-61.0,61.0-62.0,62.0-63.0,63.0-64.0,64.0-65.0,65.0-66.0,66.0-67.0,67.0-68.0,68.0-69.0,69.0-70.0,70.0-71.0,71.0-72.0,72.0-73.0,73.0-74.0,74.0-75.0,75.0-76.0,76.0-77.0,77.0-78.0,78.0-79.0
n,Banner,2020-02-18,173216.0,142163.0,109550.0,102257.0,102303.0,105856.0,109608.0,114813.0,121089.0,126309.0,130965.0,135120.0,139668.0,142301.0,146259.0,149723.0,152467.0,154899.0,156130.0,157330.0,158515.0,159694.0,160720.0,160313.0,159892.0,158785.0,158551.0,156872.0,157032.0,155909.0,153915.0,150642.0,146106.0,140087.0,133726.0,127270.0,121960.0,115689.0,110447.0,103575.0,94863.0,83917.0,70239.0,56668.0,45569.0,35879.0,27308.0,21497.0,16650.0,13108.0,10639.0,8531.0,7220.0,5918.0,4782.0,4136.0,3415.0,2849.0,2485.0,2045.0,1776.0,1509.0,1198.0,1016.0,845.0,731.0,560.0,459.0,326.0,247.0,200.0,152.0,105.0,91.0,63.0,42.0,43.0,12.0,18.0
n,Banner,2021-03-15,173217.0,142165.0,109548.0,102261.0,102307.0,105857.0,109606.0,114815.0,121091.0,126310.0,130963.0,135122.0,139667.0,142302.0,146259.0,149722.0,152467.0,154899.0,156130.0,157330.0,158515.0,159694.0,160720.0,160312.0,159891.0,158785.0,158550.0,156872.0,157032.0,155908.0,153914.0,150642.0,146106.0,140086.0,133725.0,127270.0,121958.0,115688.0,110447.0,103574.0,94863.0,83911.0,70238.0,56666.0,45569.0,35876.0,27307.0,21496.0,16650.0,13107.0,10639.0,8531.0,7220.0,5918.0,4782.0,4137.0,3415.0,2847.0,2485.0,2045.0,1776.0,1509.0,1198.0,1015.0,845.0,731.0,560.0,459.0,326.0,247.0,200.0,152.0,105.0,91.0,63.0,42.0,43.0,12.0,18.0
n,Dry_Creek,2020-02-19,1450.0,2428.0,3049.0,3732.0,4545.0,5439.0,6683.0,7856.0,9347.0,11519.0,13705.0,16328.0,19653.0,22706.0,26542.0,30706.0,35024.0,39176.0,44013.0,47559.0,51942.0,56006.0,59835.0,62765.0,66067.0,67947.0,68708.0,67756.0,66282.0,63471.0,60250.0,55548.0,49999.0,44573.0,39313.0,32811.0,26815.0,20452.0,15494.0,11458.0,7846.0,5182.0,3447.0,2226.0,1309.0,972.0,559.0,372.0,272.0,201.0,121.0,111.0,61.0,47.0,37.0,49.0,33.0,20.0,21.0,18.0,16.0,13.0,14.0,9.0,15.0,3.0,10.0,5.0,6.0,,,,,,,,,,
n,Mores,2020-02-09,781.0,2080.0,3628.0,5554.0,7718.0,9860.0,12409.0,15131.0,18011.0,20529.0,23414.0,25960.0,27862.0,29704.0,30986.0,32848.0,34054.0,35070.0,35897.0,37081.0,38229.0,38409.0,39362.0,40529.0,41157.0,42253.0,42133.0,41565.0,41069.0,39751.0,38897.0,36893.0,34153.0,32208.0,29348.0,25363.0,21519.0,17601.0,14625.0,11601.0,9173.0,7257.0,5312.0,4033.0,3024.0,2184.0,1496.0,1071.0,785.0,535.0,373.0,262.0,276.0,205.0,166.0,108.0,113.0,83.0,74.0,54.0,52.0,41.0,37.0,33.0,20.0,19.0,24.0,30.0,18.0,16.0,6.0,13.0,7.0,4.0,2.0,,,,
n,Mores,2021-03-15,781.0,2080.0,3628.0,5555.0,7718.0,9860.0,12409.0,15131.0,18011.0,20529.0,23414.0,25960.0,27862.0,29703.0,30986.0,32848.0,34054.0,35071.0,35897.0,37080.0,38229.0,38409.0,39362.0,40529.0,41157.0,42253.0,42133.0,41565.0,41068.0,39751.0,38895.0,36893.0,34153.0,32208.0,29348.0,25363.0,21519.0,17601.0,14625.0,11600.0,9173.0,7257.0,5312.0,4033.0,3024.0,2184.0,1496.0,1071.0,785.0,535.0,373.0,262.0,276.0,205.0,166.0,108.0,113.0,83.0,74.0,54.0,52.0,41.0,37.0,33.0,20.0,19.0,24.0,30.0,18.0,16.0,6.0,13.0,7.0,4.0,2.0,,,,
r,Banner,2020-02-18,0.23799964737722218,0.32497160386825974,0.233113747768981,0.19566458871230846,0.1840695776663966,0.18112709300230997,0.1700991644107381,0.16035952487451086,0.13992042572501243,0.13001446285172588,0.12102136328115543,0.10203977081308443,0.0925013824033291,0.07237019367837332,0.064115637946413,0.0536466464150436,0.05271838047839379,0.041532517392820135,0.036948283073666044,0.04121613596655894,0.03883599474657849,0.04392357389030871,0.03709099262686248,0.040033940270308724,0.040165251050851454,0.029227826259249898,0.019278311612248453,0.012566972318616056,0.009191354678133527,0.0067094521164154965,0.015168914367102599,0.01818086090873309,0.032907014712623674,0.059635848427295544,0.08874034636218747,0.10603096367897324,0.1268119044686765,0.14802008766059346,0.17185291449489026,0.18979667120530344,0.2044583640421459,0.2054545764687621,0.19729756798179657,0.18023022574777742,0.17578061654482413,0.1687568398752995,0.17463223394043523,0.17148653317468834,0.16826379004748138,0.175516303640657,0.17562525485431887,0.19063637507278122,0.19091218513607366,0.18372532298441563,0.20531971985894384,0.18765848877978492,0.1840834959791577,0.1872111293449577,0.21188772356931798,0.1897706038042583,0.17813695970353405,0.1927336653438611,0.19650833727803485,0.19874311873688352,0.13783831498857574,0.1440739533389774,0.17291604575214892,0.17798863870589612,0.1611999884030268,0.2521809134046457,0.22118030421972942,0.27264177292621655,-0.03993262152206419,0.09012076185250965,0.25473859300201684,0.09402582672804545,0.28654788034788675,-0.7084308503959864,-0.06589328401958526
r,Banner,2021-03-15,0.4024321645239221,0.22401658158447715,0.11932931467851611,0.06499126863752404,0.020860630911129552,-0.0003767976121892779,-0.019549059550423922,-0.022678064281526553,-0.025415351310979196,-0.018907598214428816,-0.006076851631800109,0.003437026138170602,0.01899093627218023,0.029074031630368785,0.04358616561100356,0.05660204007771563,0.07620110353444423,0.08619804186001828,0.10055606493697872,0.12177491934421025,0.13347730344030498,0.15051311545793658,0.15906789398313365,0.16699175837683847,0.1804912233890187,0.17477101202674292,0.17296771645735307,0.17543786564143593,0.18247066059059885,0.18558001714641814,0.20334790292324492,0.2169069414903672,0.23892582624145767,0.266153782856982,0.3031839913489226,0.3264286999203128,0.350514682692726,0.375255632486539,0.4014886183015188,0.42228340223532196,0.43486151513331156,0.4390262606390245,0.43492014097353826,0.4289188312020725,0.4282066721007034,0.41447619215517445,0.41454740058578854,0.41943787099454705,0.40959581038869025,0.40153755846422357,0.4191072104423422,0.4255330113240715,0.40908347127168315,0.40483941338860235,0.413244288246726,0.3881394644915589,0.3917213939159739,0.3600937070389682,0.4100076923985323,0.33652613665627046,0.3398401044020469,0.34675356740346724,0.31161784912461565,0.31756105327092543,0.27566563275064887,0.23383852470553973,0.2643177680366385,0.26978252997019897,0.2860253745614929,0.20808918506202237,0.08596795500386321,0.21693574384722678,0.20957514814729092,0.20118713838846689,0.05165775691935527,0.13616662221917947,0.054158354970781385,-0.25556661213729304,0.08224249489486689
r,Dry_Creek,2020-02-19,-0.5332599014414982,-0.1439306036049018,-0.063536415969821,-0.02702710467325845,-0.02639053447024936,-0.03599175934426261,-0.038887009696990625,-0.025843237099702564,-0.02930721359957221,-0.009973593051734599,0.020373115271338733,0.02200713338557931,0.06362799858547377,0.06329336166092163,0.09168738429549596,0.09746208878023621,0.1153511083068997,0.12584105825198674,0.13062020015635806,0.1189331596897986,0.12903094107947893,0.13615708446422736,0.13137558224382656,0.15353019102839216,0.16254970825456483,0.17430746330207525,0.17949569821416317,0.18426574455931466,0.19001818412504648,0.1876098833500304,0.1819349260595336,0.15447424489659664,0.12515622995012882,0.10424167625825045,0.0688369523448609,0.04470820337023686,-0.01156986536559055,-0.06608540653033561,-0.09478544665861016,-0.13211862819410583,-0.1411873970240389,-0.18790455802604922,-0.250005179793833,-0.2504412577638312,-0.22360419792559175,-0.16885684092891926,-0.16895005066923474,-0.18297198344044432,-0.2303138121188755,-0.08207884140987558,0.05906904403958597,0.09281478537717347,-0.032286327943437054,0.17731084242528983,0.21683957719917749,0.1630390145816231,-0.1974961217735273,-0.18108069709197583,-0.1825751539886304,0.019687666363030498,-0.11670257179803209,-0.12944323778039826,0.41056917862250447,-0.5906549561601092,-0.2308753640630069,0.7037826813895488,0.08644120932548295,0.6039893554273073,-0.5894120673784127,,,,,,,,,,
r,Mores,2020-02-09,0.24330440047152044,0.22510521248562415,0.36483500243439765,0.37097242304006056,0.3205659161672042,0.30009637568995917,0.24689339629868814,0.2097465725162656,0.2096595584156746,0.14088725542779196,0.13204646490892574,0.13452309189601874,0.14777176935483516,0.13641828563901426,0.15551364282007962,0.15148291410953726,0.14587378957376823,0.13053871689146945,0.12779347647984352,0.12315151504301537,0.10549027477219311,0.10036340796056084,0.10704039100590776,0.10082090350449607,0.08760646471100636,0.09804452409636501,0.11110761299740526,0.11923677470370446,0.1285691797835342,0.13288448819948429,0.1298729045097666,0.13108487724334308,0.14516205176799643,0.13029104770423006,0.12906557083384756,0.15005848278532674,0.1576975823916463,0.15504003887544995,0.17213817374951176,0.16831912501595717,0.19966775477017742,0.21102928172704968,0.2017595441200619,0.1685699634870149,0.14810202479705328,0.18335022120242514,0.15281250949088743,0.22235847645072357,0.19319470475986478,0.15537493621715512,0.13401098034186507,0.15961639484843693,0.2189974324927719,-0.02296814090511094,0.12586775224514157,0.15686603815660458,0.10453840291557313,0.23593590142908005,-0.005895659189280016,0.1222329105137423,-0.007589177902967109,0.35823024352913413,-0.055983690374297734,-0.3052144590529924,-0.34528824415823445,0.12926084966329807,-0.1984774797494433,-0.2632504003041984,0.03426302247839372,-0.11835087592795974,0.17194971027327055,0.149797349708315,-0.6586507659841232,0.7287018537076146,-1.0,,,,
r,Mores,2021-03-15,0.06100685018476637,0.11980380934090205,0.2389425590462427,0.2588688523315832,0.22935178492551858,0.204920201140065,0.1828973041881376,0.1744988821341149,0.1851176310002484,0.17389883961047628,0.19163252692680413,0.20767402749264033,0.23307775944106668,0.24106331496116662,0.2686924839057101,0.28968597808624674,0.3056458461066615,0.3037374611580363,0.31927345481570474,0.3208598434041287,0.3203580778483951,0.33113877390166846,0.34647752060304854,0.34979134399061074,0.35238799866565534,0.36564475044016226,0.38298302839830267,0.39719112069489354,0.41059801348184133,0.4266546378211076,0.4290216746182318,0.43610531986494205,0.4470262956640422,0.4325006834891968,0.4446377237215046,0.44393803897609274,0.4402013452388147,0.4311784600283371,0.4370485545270931,0.4257549646278977,0.4319659315423112,0.405474677694304,0.4039920172078372,0.39234155725898595,0.3806195911810616,0.4098843492075014,0.4038727903569,0.4126900877821112,0.39187379693780905,0.3660685751883496,0.3209849870823574,0.39212011350241627,0.4188961848265889,0.20465179074576295,0.3841774335707845,0.21610827960110818,0.19915569094867258,0.16272797217293178,0.12361280916187996,0.40905307282106673,0.20332672097701926,0.2797587101027703,0.046789235858995755,-0.2622637844565645,-0.2302550482543961,0.21267034409289734,-0.20768269329561648,0.167258561775142,-0.24114517188184176,-0.21785761727704395,-0.2594521473997947,0.012415968283270911,-0.3686802555278489,0.32915654539158423,1.0,,,,
