stat,loc,date,0.0-0.1,0.1-0.2,0.20000000000000004-0.30000000000000004,0.30000000000000004-0.4,0.4-0.5,0.5-0.6,0.6000000000000001-0.7000000000000001,0.7000000000000001-0.8,0.8-0.9
n,Banner,2020-02-18,264.0,1138.0,7339.0,23890.0,116635.0,274510.0,713832.0,1041201.0,1142535.0
n,Banner,2021-03-15,443.0,1952.0,15787.0,50497.0,198538.0,390065.0,778544.0,989269.0,1011360.0
n,Dry_Creek,2020-02-19,3162.0,10869.0,33808.0,53741.0,85205.0,102622.0,127801.0,145353.0,172487.0
n,Mores,2020-02-09,216.0,799.0,2418.0,4858.0,13816.0,28212.0,77699.0,137849.0,255111.0
n,Mores,2021-03-15,902.0,2501.0,6841.0,12620.0,30992.0,54390.0,111364.0,161506.0,225545.0
r,Banner,2020-02-18,-0.24766549290016188,-0.13296363020880342,0.023500365292749403,0.05126705040560339,0.0807024198287512,0.09667662466475904,0.09851499158559443,0.08497172500469113,0.07988775488990994
r,Banner,2021-03-15,-0.023892687566008368,0.27296247961147607,0.30346328362888,0.2842201647940977,0.23641714098298286,0.2101887207644492,0.1859098365315575,0.1874732366885481,0.20189584025793136
r,Dry_Creek,2020-02-19,-0.18507257263312235,-0.05814413563019256,0.0063047287593382545,0.019118535241829247,0.030972356404935817,0.04263202330903239,0.06648383029816438,0.08489885708755936,0.11203409169672493
r,Mores,2020-02-09,-0.027529498307455155,-0.0668657547705403,0.059315570263724846,0.10895141494016213,0.12041091128967998,0.11529494945247394,0.11503679240834251,0.10875557736108707,0.0982356978910409
r,Mores,2021-03-15,0.10616914156434809,0.1557004857537519,0.2156322369123299,0.21144200952762543,0.21994508116756542,0.19960203149310868,0.2269690541191245,0.25463482281228866,0.3002529796688208
rmse,Banner,2020-02-18,0.4325977563858032,0.4423832595348358,0.4462282657623291,0.46151649951934814,0.5017489790916443,0.5401819348335266,0.6288880109786987,0.7109067440032959,0.8633672595024109
rmse,Banner,2021-03-15,0.7183394432067871,0.7282292246818542,0.8443403840065002,0.8832735419273376,0.9381778836250305,0.9845973253250122,1.0790396928787231,1.1585261821746826,1.292722463607788
rmse,Dry_Creek,2020-02-19,0.4381299316883087,0.43899089097976685,0.4480060338973999,0.4526554346084595,0.4608483612537384,0.4763617515563965,0.5083928108215332,0.5334295630455017,0.5931273698806763
rmse,Mores,2020-02-09,0.39950641989707947,0.5220672488212585,0.6682614684104919,0.7850476503372192,0.9274449348449707,1.0255752801895142,1.145095944404602,1.208519458770752,1.2739982604980469
rmse,Mores,2021-03-15,0.6725906729698181,0.7467589974403381,0.923250138759613,1.0410802364349365,1.2111659049987793,1.317458987236023,1.4118376970291138,1.4462472200393677,1.4738078117370605
