stat,loc,date,0.0-0.01,0.01-0.02,0.019999999999999997-0.03,0.03-0.04,0.04-0.05,0.05-0.060000000000000005,0.05999999999999999-0.06999999999999999,0.07-0.08,0.08-0.09,0.09-0.09999999999999999,0.1-0.11,0.11-0.12,0.12000000000000001-0.13,0.13-0.14,0.14-0.15000000000000002,0.15-0.16,0.16-0.17,0.17-0.18000000000000002,0.18-0.19,0.19-0.2,0.2-0.21000000000000002,0.21-0.22,0.22-0.23,0.23-0.24000000000000002,0.24-0.25,0.25-0.26,0.26-0.27,0.27-0.28,0.28-0.29000000000000004,0.29-0.3,0.3-0.31,0.31-0.32,0.32-0.33,0.33-0.34,0.34-0.35000000000000003,0.35000000000000003-0.36000000000000004,0.36-0.37,0.37-0.38,0.38-0.39,0.39-0.4,0.4-0.41000000000000003,0.41000000000000003-0.42000000000000004,0.42-0.43,0.43-0.44,0.44-0.45,0.45-0.46,0.46-0.47000000000000003,0.47000000000000003-0.48000000000000004,0.48-0.49,0.49-0.5,0.5-0.51,0.51-0.52,0.52-0.53,0.53-0.54,0.54-0.55,0.55-0.56,0.56-0.5700000000000001,0.5700000000000001-0.5800000000000001,0.58-0.59,0.59-0.6,0.6-0.61,0.61-0.62,0.62-0.63,0.63-0.64,0.64-0.65,0.65-0.66,0.66-0.67,0.67-0.68,0.68-0.6900000000000001,0.6900000000000001-0.7000000000000001,0.7000000000000001-0.7100000000000001,0.71-0.72,0.72-0.73,0.73-0.74,0.74-0.75,0.75-0.76,0.76-0.77,0.77-0.78,0.78-0.79,0.79-0.8,0.8-0.81,0.81-0.8200000000000001,0.8200000000000001-0.8300000000000001,0.8300000000000001-0.8400000000000001,0.84-0.85,0.85-0.86,0.86-0.87,0.87-0.88,0.88-0.89,0.89-0.9,0.9-0.91,0.91-0.92,0.92-0.93,0.93-0.9400000000000001,0.9400000000000001-0.9500000000000001,0.9500000000000001-0.9600000000000001,0.96-0.97,0.97-0.98,0.98-0.99
n,Banner,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,2557.0,,,,,,,,,,,,15383.0,,,,,,,,,,,,71878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588121.0,,,,,,,,,,,,522945.0,,,
n,Banner,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,5604.0,,,,,,,,,,,,32055.0,,,,,,,,,,,,118427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517294.0,,,,,,,,,,,,489941.0,,,
n,Dry_Creek,2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,14491.0,,,,,,,,,,,,29628.0,,,,,,,,,,,,45031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84818.0,,,,,,,,,,,,104028.0,,,
n,Mores,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,1096.0,,,,,,,,,,,,2933.0,,,,,,,,,,,,8455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120307.0,,,,,,,,,,,,148661.0,,,
n,Mores,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,2935.0,,,,,,,,,,,,7362.0,,,,,,,,,,,,18137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111726.0,,,,,,,,,,,,107271.0,,,
r,Banner,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,-0.002449734242616536,,,,,,,,,,,,0.055647037900148244,,,,,,,,,,,,0.09117612164803009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08293429962519314,,,,,,,,,,,,0.02716398518177132,,,
r,Banner,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,0.38812477772938125,,,,,,,,,,,,0.3423283914367782,,,,,,,,,,,,0.2739281474619071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22044157295361516,,,,,,,,,,,,0.18679592901594833,,,
r,Dry_Creek,2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,-0.0128170542360424,,,,,,,,,,,,0.022246901199025632,,,,,,,,,,,,0.03757223243814425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10809423213326125,,,,,,,,,,,,0.14713853269882698,,,
r,Mores,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,0.06953825894692843,,,,,,,,,,,,0.18074886136493104,,,,,,,,,,,,0.1854398769238233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14125357591364648,,,,,,,,,,,,0.10765283738786281,,,
r,Mores,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,0.3540224166576515,,,,,,,,,,,,0.32460739514862347,,,,,,,,,,,,0.29113687670584015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35827305863912223,,,,,,,,,,,,0.3686508319885965,,,
